                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5102,                 1.5516,                 1.0711,                0.56948,                0.25365,                0.24916,                0.13818,                 1.4101,                 1.0605,                 1.0258,               0.070055,              0.0033272,              0.0033272
                      1,                 1.4359,                 1.0782,                 1.0329,                0.53437,                0.28975,                0.28446,                0.15248,                 1.4073,                 1.0078,                 1.0035,               0.039935,              0.0065407,              0.0065407
                      2,                 1.4322,                 1.0241,                 1.0253,                0.35386,                 0.2633,                0.23125,                0.11761,                  1.468,                 1.1259,                 1.0278,              0.0096951,              0.0096341,              0.0096341
                      3,                 1.4153,                0.98277,                 1.0227,                0.44283,                 0.3007,                0.30669,                0.16413,                 1.3724,                0.95803,                 1.0051,                0.00946,                0.00946,                0.00946
                      4,                 1.3816,                0.93416,                  1.011,                0.45236,                0.32459,                0.32941,                0.17764,                 1.3543,                 0.8919,                0.98969,                0.00946,                0.00946,                0.00946
                      5,                 1.3604,                0.90607,                  1.004,                0.47323,                0.33949,                0.35254,                0.19176,                 1.3072,                0.84801,                0.97898,                0.00928,                0.00928,                0.00928
                      6,                 1.3465,                0.88668,                0.99896,                0.46488,                 0.3435,                0.35993,                0.19566,                 1.3052,                0.83605,                0.97223,                 0.0091,                 0.0091,                 0.0091
                      7,                 1.3337,                0.87139,                0.99373,                0.58902,                0.35304,                0.37364,                0.20473,                 1.2968,                0.82147,                0.97155,                0.00892,                0.00892,                0.00892
                      8,                 1.3264,                 0.8622,                 0.9917,                0.51004,                0.36203,                0.38758,                0.21261,                 1.2829,                0.80049,                0.96384,                0.00874,                0.00874,                0.00874
                      9,                 1.3182,                0.85358,                0.98789,                0.61051,                0.36709,                 0.3934,                0.21581,                 1.2747,                0.78769,                0.96112,                0.00856,                0.00856,                0.00856
                     10,                 1.3135,                0.84608,                0.98653,                0.51414,                 0.3702,                0.39932,                0.22051,                 1.2622,                0.77866,                0.95553,                0.00838,                0.00838,                0.00838
                     11,                 1.3092,                0.84055,                0.98507,                 0.6369,                 0.3738,                0.40932,                0.22645,                 1.2582,                0.76726,                0.95747,                 0.0082,                 0.0082,                 0.0082
                     12,                 1.3038,                0.83521,                0.98309,                  0.631,                0.37915,                0.41207,                 0.2288,                 1.2497,                0.75989,                0.95235,                0.00802,                0.00802,                0.00802
                     13,                 1.3018,                0.83026,                0.98106,                 0.6475,                0.38144,                 0.4171,                0.23082,                 1.2468,                0.75327,                0.95086,                0.00784,                0.00784,                0.00784
                     14,                 1.2953,                0.82527,                0.97948,                0.64872,                0.38336,                0.42321,                0.23623,                 1.2412,                0.74709,                0.94836,                0.00766,                0.00766,                0.00766
                     15,                 1.2927,                0.82165,                0.97829,                0.64537,                0.38754,                0.42345,                0.23651,                 1.2395,                0.74216,                0.94845,                0.00748,                0.00748,                0.00748
                     16,                 1.2892,                0.81698,                0.97667,                0.65652,                0.38525,                0.42764,                0.24069,                 1.2329,                0.73612,                0.94545,                 0.0073,                 0.0073,                 0.0073
                     17,                 1.2875,                0.81366,                0.97564,                0.66321,                 0.3909,                0.43266,                0.24267,                 1.2304,                0.72994,                0.94459,                0.00712,                0.00712,                0.00712
                     18,                 1.2821,                0.81068,                0.97447,                0.64925,                0.39613,                0.43312,                0.24407,                 1.2255,                0.72809,                0.94355,                0.00694,                0.00694,                0.00694
                     19,                 1.2813,                0.80833,                0.97371,                0.65242,                0.39719,                0.43516,                0.24526,                 1.2245,                0.72476,                0.94239,                0.00676,                0.00676,                0.00676
                     20,                 1.2792,                0.80657,                0.97234,                0.65855,                0.39875,                0.43856,                0.24671,                 1.2222,                0.72144,                0.94146,                0.00658,                0.00658,                0.00658
                     21,                 1.2755,                0.80166,                0.97096,                 0.6601,                0.39768,                0.43904,                0.24734,                 1.2194,                0.71977,                0.94022,                 0.0064,                 0.0064,                 0.0064
                     22,                 1.2743,                0.80106,                0.97092,                0.56068,                0.39933,                0.44031,                0.24771,                  1.218,                0.71717,                 0.9392,                0.00622,                0.00622,                0.00622
                     23,                 1.2726,                0.79937,                0.97049,                 0.6588,                0.40079,                0.44203,                0.24945,                 1.2168,                0.71465,                0.93904,                0.00604,                0.00604,                0.00604
                     24,                 1.2706,                0.79578,                0.96988,                0.66309,                0.40038,                0.44461,                 0.2503,                 1.2157,                0.71298,                0.93888,                0.00586,                0.00586,                0.00586
                     25,                 1.2677,                0.79328,                0.96873,                0.66129,                0.40376,                0.44584,                 0.2512,                 1.2143,                0.71148,                0.93856,                0.00568,                0.00568,                0.00568
                     26,                 1.2647,                0.79087,                 0.9679,                0.65954,                0.40609,                0.44718,                0.25218,                 1.2135,                0.71051,                0.93815,                 0.0055,                 0.0055,                 0.0055
                     27,                 1.2646,                0.78916,                0.96696,                0.66045,                0.40669,                0.44897,                0.25313,                 1.2127,                0.70906,                0.93774,                0.00532,                0.00532,                0.00532
                     28,                 1.2623,                0.78676,                0.96661,                0.66027,                0.40574,                0.44854,                0.25339,                 1.2118,                0.70811,                0.93734,                0.00514,                0.00514,                0.00514
                     29,                 1.2613,                0.78591,                0.96563,                0.66235,                0.40413,                0.44905,                0.25387,                 1.2111,                0.70752,                0.93686,                0.00496,                0.00496,                0.00496
                     30,                 1.2588,                0.78326,                0.96471,                0.66603,                0.40537,                0.45046,                 0.2545,                 1.2104,                0.70702,                0.93644,                0.00478,                0.00478,                0.00478
                     31,                 1.2552,                0.78035,                0.96392,                0.66707,                0.40707,                0.45124,                0.25502,                 1.2099,                0.70631,                0.93616,                 0.0046,                 0.0046,                 0.0046
                     32,                  1.253,                0.77852,                0.96266,                0.66247,                 0.4094,                0.45131,                0.25579,                 1.2094,                0.70585,                0.93595,                0.00442,                0.00442,                0.00442
                     33,                  1.249,                0.77528,                0.96145,                0.66656,                0.40793,                0.45251,                0.25615,                 1.2089,                0.70511,                0.93562,                0.00424,                0.00424,                0.00424
                     34,                 1.2517,                0.77537,                0.96173,                0.66898,                 0.4072,                0.45318,                0.25656,                 1.2082,                0.70458,                0.93528,                0.00406,                0.00406,                0.00406
                     35,                  1.249,                0.77163,                0.96029,                0.66831,                0.40873,                0.45398,                0.25688,                 1.2078,                0.70406,                0.93506,                0.00388,                0.00388,                0.00388
                     36,                 1.2481,                0.76959,                0.96099,                0.67117,                0.40731,                0.45409,                0.25705,                 1.2073,                0.70343,                0.93492,                 0.0037,                 0.0037,                 0.0037
                     37,                 1.2414,                0.76542,                 0.9584,                0.67223,                0.40678,                0.45474,                0.25748,                 1.2068,                0.70302,                0.93466,                0.00352,                0.00352,                0.00352
                     38,                 1.2404,                0.76314,                0.95903,                0.66731,                0.41004,                0.45519,                0.25784,                 1.2064,                0.70268,                0.93443,                0.00334,                0.00334,                0.00334
                     39,                 1.2401,                0.76157,                0.95784,                0.66763,                0.41106,                0.45553,                0.25804,                 1.2059,                0.70226,                0.93421,                0.00316,                0.00316,                0.00316
                     40,                 1.2727,                0.76393,                0.96197,                0.66683,                0.41158,                0.45567,                0.25806,                 1.2055,                0.70195,                0.93405,                0.00298,                0.00298,                0.00298
                     41,                 1.2698,                0.75978,                0.96058,                0.66616,                0.41251,                0.45564,                 0.2581,                 1.2051,                0.70184,                0.93391,                 0.0028,                 0.0028,                 0.0028
                     42,                 1.2661,                0.75657,                 0.9585,                0.66632,                0.41244,                0.45605,                0.25866,                 1.2046,                 0.7019,                0.93368,                0.00262,                0.00262,                0.00262
                     43,                 1.2636,                0.75235,                0.95785,                0.66621,                0.41276,                0.45636,                0.25875,                  1.204,                0.70164,                0.93349,                0.00244,                0.00244,                0.00244
                     44,                 1.2608,                0.74941,                0.95655,                 0.6659,                0.41291,                0.45672,                0.25909,                 1.2036,                 0.7018,                0.93331,                0.00226,                0.00226,                0.00226
                     45,                 1.2585,                0.74595,                 0.9559,                0.66712,                 0.4126,                0.45717,                0.25945,                 1.2031,                0.70184,                0.93308,                0.00208,                0.00208,                0.00208
                     46,                 1.2548,                0.74355,                0.95517,                0.67161,                0.41106,                0.45741,                0.25973,                 1.2026,                0.70201,                0.93286,                 0.0019,                 0.0019,                 0.0019
