                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4826,                 1.3121,                 1.0609,                0.52013,                0.28739,                0.28763,                0.15688,                 1.3768,                 0.9703,                 1.0084,               0.070007,              0.0033326,              0.0033326
                      1,                 1.4297,                 1.0286,                 1.0297,                0.44779,                0.31316,                0.32119,                0.17611,                 1.3448,                0.90298,                0.99151,               0.039875,              0.0065339,              0.0065339
                      2,                 1.4308,                 1.0021,                 1.0297,                0.46581,                 0.3235,                0.33385,                0.18206,                 1.3294,                0.86323,                0.98422,              0.0096109,              0.0096033,              0.0096033
                      3,                 1.4126,                0.96801,                 1.0256,                0.47882,                0.34153,                0.35918,                0.19683,                 1.2994,                0.82338,                0.97534,               0.009406,               0.009406,               0.009406
                      4,                 1.3795,                0.92538,                  1.013,                0.58974,                0.36325,                0.38109,                0.20936,                 1.2822,                0.79687,                0.96695,               0.009406,               0.009406,               0.009406
                      5,                 1.3598,                0.89971,                 1.0054,                0.59587,                0.37113,                0.39233,                0.21679,                 1.2661,                0.77741,                0.96137,               0.009208,               0.009208,               0.009208
                      6,                  1.345,                0.88219,                0.99932,                0.62562,                0.36763,                0.40108,                0.22131,                 1.2573,                0.76527,                0.95778,                0.00901,                0.00901,                0.00901
                      7,                  1.334,                 0.8689,                0.99503,                0.61991,                0.38067,                0.40968,                0.22755,                 1.2497,                0.75565,                0.95402,               0.008812,               0.008812,               0.008812
                      8,                 1.3264,                0.85983,                0.99257,                0.62823,                0.38414,                0.41532,                0.23067,                 1.2457,                0.74932,                0.95224,               0.008614,               0.008614,               0.008614
                      9,                 1.3192,                0.85227,                0.98894,                0.62852,                0.39041,                0.41918,                0.23357,                 1.2405,                 0.7437,                0.95006,               0.008416,               0.008416,               0.008416
                     10,                 1.3143,                0.84471,                0.98781,                 0.6375,                0.39179,                0.42385,                0.23573,                 1.2371,                0.73957,                 0.9488,               0.008218,               0.008218,               0.008218
                     11,                 1.3099,                 0.8396,                0.98557,                0.64101,                0.39349,                0.42525,                0.23737,                 1.2351,                 0.7363,                0.94798,                0.00802,                0.00802,                0.00802
                     12,                  1.304,                0.83457,                0.98353,                 0.6457,                0.39371,                0.42774,                0.23925,                 1.2326,                0.73336,                0.94705,               0.007822,               0.007822,               0.007822
                     13,                 1.3032,                0.83046,                  0.982,                0.65396,                0.39225,                0.42942,                0.24074,                 1.2313,                0.73144,                 0.9465,               0.007624,               0.007624,               0.007624
                     14,                 1.2969,                0.82579,                0.98075,                0.65531,                0.39271,                0.43083,                 0.2414,                 1.2299,                0.72971,                0.94607,               0.007426,               0.007426,               0.007426
                     15,                 1.2938,                0.82171,                  0.979,                0.65542,                0.39326,                0.43206,                0.24221,                 1.2287,                0.72813,                0.94552,               0.007228,               0.007228,               0.007228
                     16,                 1.2894,                0.81706,                0.97732,                0.65792,                0.39471,                0.43353,                  0.243,                 1.2278,                 0.7268,                0.94498,                0.00703,                0.00703,                0.00703
                     17,                 1.2894,                0.81537,                0.97648,                0.65547,                0.39596,                 0.4348,                0.24386,                 1.2268,                0.72543,                0.94443,               0.006832,               0.006832,               0.006832
                     18,                 1.2834,                0.81115,                0.97495,                0.65688,                0.39679,                0.43613,                 0.2446,                 1.2256,                0.72417,                0.94388,               0.006634,               0.006634,               0.006634
                     19,                 1.2828,                0.80893,                0.97425,                0.65807,                0.39778,                0.43753,                0.24547,                 1.2246,                0.72294,                0.94341,               0.006436,               0.006436,               0.006436
                     20,                 1.2813,                0.80708,                0.97348,                0.66042,                0.39809,                0.43811,                0.24612,                 1.2236,                0.72179,                0.94285,               0.006238,               0.006238,               0.006238
                     21,                  1.278,                0.80312,                0.97208,                0.65721,                0.40079,                0.43933,                0.24694,                 1.2228,                0.72059,                0.94237,                0.00604,                0.00604,                0.00604
                     22,                 1.2759,                0.80139,                0.97196,                0.65799,                0.40233,                 0.4404,                0.24746,                 1.2219,                0.71939,                0.94189,               0.005842,               0.005842,               0.005842
                     23,                 1.2736,                 0.7998,                0.97092,                 0.6562,                0.40387,                0.44142,                0.24813,                 1.2209,                0.71826,                0.94138,               0.005644,               0.005644,               0.005644
                     24,                 1.2708,                 0.7961,                0.96974,                0.65804,                0.40456,                0.44233,                0.24872,                   1.22,                0.71723,                0.94089,               0.005446,               0.005446,               0.005446
                     25,                  1.269,                0.79285,                0.96899,                0.65261,                0.40665,                0.44302,                0.24934,                  1.219,                0.71613,                0.94034,               0.005248,               0.005248,               0.005248
                     26,                 1.2649,                0.79022,                0.96802,                0.65453,                0.40794,                0.44411,                0.25014,                  1.218,                0.71491,                 0.9399,                0.00505,                0.00505,                0.00505
                     27,                 1.2647,                0.78866,                0.96738,                0.65623,                0.40828,                0.44501,                0.25088,                 1.2173,                0.71381,                0.93957,               0.004852,               0.004852,               0.004852
                     28,                 1.2624,                0.78659,                0.96657,                0.65932,                0.40928,                0.44608,                0.25158,                 1.2165,                0.71271,                0.93913,               0.004654,               0.004654,               0.004654
                     29,                 1.2609,                0.78417,                0.96549,                0.66038,                0.40946,                0.44685,                0.25214,                 1.2158,                0.71175,                0.93867,               0.004456,               0.004456,               0.004456
                     30,                 1.2591,                0.78226,                0.96508,                 0.6615,                 0.4093,                0.44769,                0.25291,                 1.2149,                0.71078,                0.93821,               0.004258,               0.004258,               0.004258
                     31,                  1.255,                0.77929,                0.96401,                0.66228,                0.40979,                0.44881,                0.25344,                 1.2139,                0.70969,                0.93774,                0.00406,                0.00406,                0.00406
                     32,                 1.2521,                0.77631,                0.96296,                0.66306,                0.40953,                0.44982,                 0.2544,                 1.2132,                0.70881,                0.93734,               0.003862,               0.003862,               0.003862
                     33,                 1.2486,                0.77275,                0.96239,                0.66249,                0.41129,                0.45049,                0.25512,                 1.2124,                 0.7081,                0.93691,               0.003664,               0.003664,               0.003664
                     34,                 1.2516,                0.77299,                0.96221,                0.66438,                0.41126,                 0.4516,                 0.2556,                 1.2115,                0.70731,                0.93644,               0.003466,               0.003466,               0.003466
