                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4013,                 1.1914,                 1.0729,                0.40208,                0.26968,                0.27257,                0.15871,                 1.3201,                0.88124,                 1.0315,               0.070007,              0.0033326,              0.0033326
                      1,                 1.3535,                0.94612,                 1.0478,                0.41206,                0.30195,                0.30173,                0.17316,                 1.2804,                0.81085,                 1.0124,               0.039677,              0.0063359,              0.0063359
                      2,                 1.3574,                0.92214,                  1.049,                0.43519,                0.29806,                0.30859,                0.17731,                 1.2752,                0.78311,                 1.0075,              0.0090169,              0.0090093,              0.0090093
                      3,                 1.3387,                   0.89,                 1.0438,                 0.5767,                0.32066,                0.33607,                0.19453,                 1.2431,                0.74408,                0.99594,               0.008515,               0.008515,               0.008515
                      4,                 1.3119,                0.85204,                 1.0322,                0.59865,                0.33148,                0.35021,                0.20175,                 1.2277,                0.72372,                 0.9903,               0.008515,               0.008515,               0.008515
                      5,                 1.2914,                0.82619,                 1.0229,                0.61042,                0.34649,                 0.3662,                0.21325,                 1.2143,                0.70483,                0.98208,                0.00802,                0.00802,                0.00802
                      6,                 1.2744,                 0.8053,                 1.0161,                0.62812,                0.35103,                0.37826,                0.22115,                 1.2065,                0.69356,                0.97838,               0.007525,               0.007525,               0.007525
                      7,                 1.2632,                 0.7925,                 1.0114,                0.63224,                0.36248,                0.38944,                0.22708,                 1.2003,                0.68515,                0.97505,                0.00703,                0.00703,                0.00703
                      8,                 1.2543,                0.78263,                 1.0071,                0.65302,                0.35427,                0.39223,                0.23025,                  1.195,                 0.6781,                0.97164,               0.006535,               0.006535,               0.006535
                      9,                 1.2462,                0.77255,                 1.0029,                0.65952,                0.35853,                0.39855,                0.23409,                 1.1908,                0.67343,                0.96929,                0.00604,                0.00604,                0.00604
                     10,                 1.2783,                0.77044,                 1.0085,                0.65349,                0.36212,                0.39763,                0.23383,                 1.1899,                0.67264,                0.96899,               0.005545,               0.005545,               0.005545
                     11,                 1.2715,                0.76179,                 1.0054,                0.65897,                0.36145,                0.39985,                0.23526,                 1.1889,                0.67185,                0.96864,                0.00505,                0.00505,                0.00505
                     12,                 1.2645,                0.75311,                 1.0019,                0.65951,                0.36623,                0.40236,                0.23653,                 1.1881,                0.67056,                0.96823,               0.004555,               0.004555,               0.004555
                     13,                 1.2576,                0.74499,                0.99877,                0.65912,                0.36612,                0.40245,                0.23729,                 1.1872,                 0.6694,                0.96771,                0.00406,                0.00406,                0.00406
                     14,                 1.2485,                0.73572,                0.99451,                0.66713,                0.36401,                0.40453,                0.23845,                 1.1861,                0.66804,                0.96682,               0.003565,               0.003565,               0.003565
                     15,                 1.2437,                0.72833,                0.99336,                0.67057,                0.36398,                0.40592,                0.23931,                 1.1852,                0.66682,                0.96627,                0.00307,                0.00307,                0.00307
                     16,                 1.2353,                0.71853,                  0.989,                0.66962,                0.36497,                0.40723,                0.24027,                 1.1842,                0.66551,                0.96561,               0.002575,               0.002575,               0.002575
                     17,                 1.2287,                0.71031,                0.98654,                0.67329,                0.36439,                0.40806,                 0.2413,                 1.1832,                0.66439,                0.96495,                0.00208,                0.00208,                0.00208
                     18,                 1.2211,                0.70182,                 0.9843,                0.67412,                0.36549,                0.40949,                0.24232,                 1.1822,                0.66316,                0.96436,               0.001585,               0.001585,               0.001585
                     19,                 1.2131,                0.69181,                0.98038,                0.67771,                0.36434,                0.41018,                0.24287,                 1.1812,                0.66198,                0.96359,                0.00109,                0.00109,                0.00109
