                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6116,                 1.4537,                 1.0961,                0.30617,                0.22869,                0.19689,                0.09508,                 1.6588,                 1.3154,                 1.1192,                    0.1,               0.033272,               0.033272
                      1,                 1.6008,                 1.1692,                 1.1024,                0.27072,                0.20923,                0.17849,                0.08745,                 1.5514,                 1.1771,                 1.1036,               0.098681,               0.065287,               0.065287
                      2,                 1.5485,                 1.0907,                 1.0884,                0.28144,                0.20597,                0.17451,                0.08547,                 1.5859,                 1.1925,                 1.1217,               0.096042,               0.095981,               0.095981
                      3,                 1.5107,                 1.0456,                 1.0731,                0.38187,                0.23507,                0.23612,                0.12103,                 1.4685,                 1.0432,                 1.0533,                0.09406,                0.09406,                0.09406
                      4,                 1.4837,                 1.0145,                 1.0584,                0.50643,                0.26946,                0.26846,                0.13956,                 1.4369,                0.99978,                 1.0421,                0.09406,                0.09406,                0.09406
                      5,                  1.473,                 1.0014,                  1.053,                0.39781,                 0.2942,                 0.2808,                0.14399,                 1.4089,                0.96108,                 1.0237,                0.09208,                0.09208,                0.09208
                      6,                 1.4643,                0.99286,                 1.0488,                0.41739,                0.28347,                0.28502,                0.14932,                 1.3887,                0.95443,                 1.0102,                 0.0901,                 0.0901,                 0.0901
                      7,                 1.4569,                0.98419,                 1.0446,                0.42097,                0.29763,                0.29841,                0.16136,                 1.3725,                0.91743,                 1.0129,                0.08812,                0.08812,                0.08812
                      8,                 1.4523,                0.97967,                 1.0437,                0.43858,                0.31719,                0.32421,                0.17247,                 1.3532,                0.89525,                  1.002,                0.08614,                0.08614,                0.08614
                      9,                 1.4467,                0.97481,                 1.0407,                0.54364,                0.32499,                0.33097,                0.17568,                 1.3417,                0.86353,                0.99954,                0.08416,                0.08416,                0.08416
                     10,                 1.4425,                0.96994,                 1.0387,                0.45457,                 0.3224,                0.33018,                0.17511,                 1.3415,                0.86764,                0.99929,                0.08218,                0.08218,                0.08218
                     11,                 1.4383,                0.96605,                 1.0374,                0.47774,                0.32723,                0.34679,                0.18683,                 1.3157,                0.84271,                0.99043,                 0.0802,                 0.0802,                 0.0802
                     12,                 1.4339,                0.96258,                  1.036,                0.47364,                 0.3396,                0.35249,                 0.1903,                 1.3119,                0.82905,                0.98505,                0.07822,                0.07822,                0.07822
                     13,                 1.4314,                 0.9571,                 1.0333,                0.46808,                 0.3382,                0.35337,                0.19166,                 1.3065,                0.82903,                0.98562,                0.07624,                0.07624,                0.07624
                     14,                  1.425,                0.95224,                 1.0311,                0.47844,                0.34885,                 0.3614,                0.19677,                 1.2911,                0.81128,                0.97849,                0.07426,                0.07426,                0.07426
                     15,                 1.4203,                0.94829,                 1.0287,                0.59922,                0.34693,                 0.3689,                0.20037,                 1.2851,                 0.8023,                0.97711,                0.07228,                0.07228,                0.07228
                     16,                 1.4159,                0.94192,                 1.0269,                0.60075,                0.35536,                0.37476,                0.20481,                 1.2803,                0.79238,                0.97431,                 0.0703,                 0.0703,                 0.0703
                     17,                  1.414,                0.94028,                 1.0255,                 0.4866,                0.36031,                0.37653,                0.20421,                 1.2806,                0.78819,                0.97281,                0.06832,                0.06832,                0.06832
                     18,                 1.4068,                0.93543,                  1.023,                0.50369,                0.36411,                0.38361,                0.20948,                 1.2752,                0.78229,                0.97198,                0.06634,                0.06634,                0.06634
                     19,                 1.4045,                0.93267,                 1.0224,                0.60495,                0.36335,                0.38404,                 0.2112,                 1.2698,                0.78072,                0.97091,                0.06436,                0.06436,                0.06436
                     20,                 1.4003,                0.92845,                 1.0204,                0.61607,                 0.3595,                0.38712,                0.21235,                 1.2667,                0.77586,                0.96923,                0.06238,                0.06238,                0.06238
                     21,                 1.3963,                0.92391,                 1.0185,                0.50989,                 0.3622,                0.38797,                0.21375,                 1.2635,                0.77326,                0.96799,                 0.0604,                 0.0604,                 0.0604
                     22,                 1.3928,                0.92167,                 1.0175,                0.50373,                0.36687,                0.39109,                0.21541,                 1.2608,                0.76937,                0.96654,                0.05842,                0.05842,                0.05842
                     23,                 1.3894,                0.91905,                 1.0165,                0.60936,                 0.3686,                0.39377,                0.21638,                  1.259,                0.76725,                0.96557,                0.05644,                0.05644,                0.05644
                     24,                 1.3857,                0.91334,                 1.0147,                0.61508,                0.36978,                0.39501,                0.21767,                 1.2578,                0.76462,                 0.9647,                0.05446,                0.05446,                0.05446
                     25,                 1.3804,                 0.9089,                 1.0121,                0.61967,                0.37039,                0.39723,                0.21902,                 1.2561,                0.76248,                0.96355,                0.05248,                0.05248,                0.05248
                     26,                 1.3757,                0.90548,                  1.011,                0.61585,                0.37467,                0.39866,                0.21978,                 1.2548,                0.76121,                0.96266,                 0.0505,                 0.0505,                 0.0505
                     27,                 1.3734,                  0.902,                 1.0092,                0.61567,                0.37464,                0.40058,                0.22075,                 1.2531,                0.75948,                0.96181,                0.04852,                0.04852,                0.04852
                     28,                 1.3687,                0.89733,                 1.0075,                0.61899,                0.37544,                0.40094,                0.22179,                 1.2513,                0.75809,                  0.961,                0.04654,                0.04654,                0.04654
                     29,                 1.3664,                0.89504,                 1.0067,                 0.6187,                0.37504,                0.40226,                0.22233,                 1.2502,                0.75708,                 0.9604,                0.04456,                0.04456,                0.04456
                     30,                 1.3614,                0.88984,                 1.0045,                0.61751,                 0.3754,                0.40298,                0.22302,                 1.2492,                0.75618,                0.95995,                0.04258,                0.04258,                0.04258
                     31,                 1.3563,                0.88563,                 1.0031,                0.61984,                0.37417,                0.40435,                0.22371,                 1.2482,                0.75528,                0.95952,                 0.0406,                 0.0406,                 0.0406
                     32,                 1.3518,                0.88123,                 1.0011,                0.62217,                0.37561,                0.40504,                0.22449,                 1.2472,                0.75441,                0.95914,                0.03862,                0.03862,                0.03862
                     33,                 1.3446,                0.87598,                0.99874,                0.62599,                0.37347,                0.40609,                0.22503,                 1.2462,                 0.7541,                0.95877,                0.03664,                0.03664,                0.03664
                     34,                  1.345,                0.87433,                0.99777,                0.62864,                0.37399,                0.40666,                 0.2255,                 1.2453,                0.75375,                0.95834,                0.03466,                0.03466,                0.03466
                     35,                 1.3396,                0.86806,                0.99517,                0.62653,                0.37336,                0.40672,                0.22592,                 1.2445,                0.75371,                0.95805,                0.03268,                0.03268,                0.03268
                     36,                 1.3362,                0.86379,                0.99463,                0.62614,                0.37417,                0.40676,                0.22608,                 1.2436,                0.75367,                0.95777,                 0.0307,                 0.0307,                 0.0307
                     37,                 1.3267,                0.85653,                0.99138,                0.63177,                0.37259,                0.40658,                0.22648,                 1.2429,                0.75415,                0.95753,                0.02872,                0.02872,                0.02872
                     38,                 1.3223,                0.85168,                0.99009,                0.62667,                0.37443,                0.40608,                0.22655,                 1.2425,                0.75513,                0.95737,                0.02674,                0.02674,                0.02674
