                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.51,                 1.5515,                 1.0714,                0.57235,                0.24751,                0.24739,                0.13687,                  1.428,                  1.073,                 1.0315,               0.070055,              0.0033272,              0.0033272
                      1,                 1.4367,                 1.0779,                 1.0333,                0.54071,                 0.2865,                0.29159,                0.15716,                 1.4073,                0.99461,                0.99964,               0.039923,              0.0065287,              0.0065287
                      2,                  1.433,                 1.0243,                 1.0259,                0.37863,                 0.2745,                0.26054,                0.13328,                 1.4374,                 1.0572,                 1.0267,              0.0096591,              0.0095981,              0.0095981
                      3,                 1.4147,                0.98309,                 1.0227,                0.42102,                0.29775,                0.29663,                0.15613,                 1.3987,                0.97475,                 1.0161,               0.009406,               0.009406,               0.009406
                      4,                 1.3819,                0.93388,                 1.0117,                0.44578,                0.32888,                 0.3345,                0.18011,                  1.335,                0.87965,                0.98778,               0.009406,               0.009406,               0.009406
                      5,                 1.3607,                0.90514,                 1.0041,                0.47505,                0.33109,                0.34297,                0.18628,                 1.3222,                 0.8637,                0.98381,               0.009208,               0.009208,               0.009208
                      6,                 1.3464,                0.88666,                0.99916,                0.49067,                0.34583,                0.36568,                0.19766,                 1.3088,                0.83598,                0.97047,                0.00901,                0.00901,                0.00901
                      7,                 1.3334,                0.87172,                0.99371,                0.49185,                0.35665,                0.37662,                0.20552,                 1.2946,                0.81634,                0.97067,               0.008812,               0.008812,               0.008812
                      8,                  1.326,                 0.8622,                 0.9918,                0.51456,                0.35726,                0.38535,                0.21146,                 1.2857,                0.80062,                0.96524,               0.008614,               0.008614,               0.008614
                      9,                 1.3182,                0.85261,                0.98779,                 0.5222,                0.36312,                0.39236,                 0.2163,                 1.2714,                0.78494,                0.96164,               0.008416,               0.008416,               0.008416
                     10,                 1.3132,                0.84558,                0.98617,                0.52915,                0.36904,                0.40077,                0.22073,                 1.2679,                0.78157,                0.96004,               0.008218,               0.008218,               0.008218
                     11,                 1.3081,                0.83916,                0.98445,                0.62349,                0.37763,                0.40837,                0.22661,                 1.2555,                0.76734,                0.95686,                0.00802,                0.00802,                0.00802
                     12,                 1.3037,                0.83413,                0.98306,                0.53949,                0.37697,                0.41403,                0.23014,                 1.2499,                0.75894,                0.95188,               0.007822,               0.007822,               0.007822
                     13,                 1.3009,                0.82921,                0.98123,                0.53053,                0.38863,                0.41807,                0.23155,                 1.2475,                0.75337,                 0.9525,               0.007624,               0.007624,               0.007624
                     14,                 1.2951,                0.82389,                0.97981,                0.55382,                0.38284,                0.42129,                0.23377,                 1.2431,                 0.7478,                0.94883,               0.007426,               0.007426,               0.007426
