                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2133,                0.73416,                 0.9872,                0.66819,                0.38204,                0.42225,                0.25027,                 1.1708,                0.64714,                0.95869,               0.006634,               0.006634,               0.006634
                     36,                 1.2131,                0.73297,                0.98849,                0.66671,                0.38364,                0.42375,                0.25079,                 1.1704,                0.64657,                0.95847,               0.006535,               0.006535,               0.006535
                     37,                 1.2114,                0.73149,                0.98698,                0.66439,                0.38402,                0.42434,                0.25123,                 1.1701,                0.64606,                0.95814,               0.006436,               0.006436,               0.006436
                     38,                 1.2086,                0.72872,                0.98558,                0.66963,                0.38253,                0.42478,                0.25175,                 1.1698,                0.64542,                0.95789,               0.006337,               0.006337,               0.006337
                     39,                 1.2098,                0.72941,                0.98578,                0.66812,                0.38443,                0.42499,                0.25197,                 1.1693,                0.64476,                0.95754,               0.006238,               0.006238,               0.006238
                     40,                 1.2089,                0.72898,                0.98565,                0.67116,                0.38402,                0.42518,                 0.2522,                 1.1688,                0.64415,                0.95724,               0.006139,               0.006139,               0.006139
                     41,                 1.2067,                0.72606,                0.98504,                0.66842,                0.38445,                0.42557,                0.25266,                 1.1683,                 0.6436,                0.95687,                0.00604,                0.00604,                0.00604
                     42,                 1.2051,                 0.7258,                 0.9841,                0.66666,                0.38662,                0.42624,                 0.2531,                 1.1677,                0.64307,                0.95642,               0.005941,               0.005941,               0.005941
                     43,                 1.2063,                0.72431,                0.98382,                0.66678,                  0.387,                0.42661,                0.25329,                 1.1671,                0.64256,                  0.956,               0.005842,               0.005842,               0.005842
                     44,                 1.2054,                0.72369,                0.98396,                0.67328,                0.38601,                0.42776,                0.25408,                 1.1667,                0.64203,                0.95561,               0.005743,               0.005743,               0.005743
                     45,                 1.2042,                0.72213,                0.98425,                0.67183,                0.38734,                0.42823,                0.25445,                 1.1662,                0.64143,                0.95525,               0.005644,               0.005644,               0.005644
                     46,                 1.2032,                0.72258,                0.98371,                0.67451,                 0.3886,                0.42932,                0.25473,                 1.1658,                0.64085,                0.95498,               0.005545,               0.005545,               0.005545
                     47,                 1.2028,                0.72095,                0.98353,                0.66944,                0.39072,                0.42915,                0.25471,                 1.1654,                0.64034,                0.95478,               0.005446,               0.005446,               0.005446
                     48,                 1.2007,                0.71972,                 0.9822,                0.66893,                0.39173,                0.42952,                0.25544,                 1.1649,                0.63975,                0.95444,               0.005347,               0.005347,               0.005347
                     49,                 1.2013,                0.71801,                0.98173,                 0.6745,                0.39006,                0.42998,                0.25573,                 1.1645,                0.63908,                0.95414,               0.005248,               0.005248,               0.005248
                     50,                 1.1996,                0.71775,                0.98129,                0.67628,                0.39076,                 0.4312,                 0.2567,                  1.164,                0.63852,                0.95381,               0.005149,               0.005149,               0.005149
                     51,                 1.1976,                0.71642,                 0.9812,                0.67503,                0.39003,                0.43232,                0.25703,                 1.1637,                0.63799,                0.95356,                0.00505,                0.00505,                0.00505
                     52,                 1.1973,                0.71548,                 0.9809,                 0.6743,                0.39349,                0.43326,                0.25744,                 1.1633,                0.63753,                0.95329,               0.004951,               0.004951,               0.004951
                     53,                  1.196,                0.71384,                0.98059,                 0.6733,                0.39328,                0.43327,                0.25747,                 1.1628,                  0.637,                0.95304,               0.004852,               0.004852,               0.004852
                     54,                 1.1959,                0.71392,                0.97984,                 0.6728,                0.39321,                0.43339,                0.25768,                 1.1624,                0.63654,                0.95288,               0.004753,               0.004753,               0.004753
                     55,                 1.1932,                0.71265,                0.97933,                0.66812,                0.39401,                0.43305,                0.25775,                 1.1619,                0.63597,                0.95263,               0.004654,               0.004654,               0.004654
                     56,                 1.1928,                 0.7112,                0.97932,                0.67103,                0.39627,                0.43451,                0.25829,                 1.1615,                0.63565,                0.95248,               0.004555,               0.004555,               0.004555
                     57,                 1.1917,                0.70955,                0.97842,                0.67668,                0.39492,                0.43561,                0.25884,                 1.1611,                0.63519,                0.95212,               0.004456,               0.004456,               0.004456
                     58,                 1.1921,                0.70966,                0.97835,                0.67474,                0.39636,                0.43626,                 0.2591,                 1.1608,                0.63469,                0.95193,               0.004357,               0.004357,               0.004357
                     59,                 1.1912,                 0.7075,                0.97783,                0.55149,                0.39496,                0.43562,                0.25956,                 1.1607,                0.63419,                0.95181,               0.004258,               0.004258,               0.004258
                     60,                 1.1892,                0.70678,                0.97754,                0.55556,                0.39535,                0.43582,                0.25981,                 1.1603,                0.63371,                0.95144,               0.004159,               0.004159,               0.004159
                     61,                 1.1879,                0.70474,                0.97691,                0.55146,                0.39626,                0.43642,                0.26036,                 1.1598,                0.63329,                0.95115,                0.00406,                0.00406,                0.00406
